lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,theta_h.6,theta_h.7,alpha
# Adaptation terminated
# Step size = 0.270012
# Diagonal elements of inverse mass matrix:
# 0.000100163, 6.76743e-05, 6.93655e-05, 3.01255e-05, 3.4965e-05, 3.51349e-05, 3.56427e-05, 3.62159e-05, 3.00141e-05, 3.80831e-05, 3.42307e-05, 3.44508e-05, 3.47473e-05, 3.2651e-05, 2.37133e-05, 2.3712e-05, 2.10431e-05, 2.51543e-05, 2.33453e-05, 2.21661e-05, 2.6378e-05
-352164,0.964959,0.270012,4,15,0,352175,-3.07781,-2.50671,0.0302105,-0.0532088,-0.0107959,-0.0109234,-0.0232994,-0.00520765,-0.0617655,0.0557519,-0.00898351,0.0105103,0.00347182,-0.00220819,-0.00930443,0.0260186,-0.0371879,-0.000496475,-0.00563952,-0.0287258,-0.0272924,1.3527
-352166,0.995136,0.270012,4,15,0,352175,-3.08514,-2.51084,0.0303435,-0.0666754,-0.0191585,-0.0133509,-0.0400523,0.00235151,-0.048398,0.0635823,0.000634123,0.0264701,0.0039404,0.0266741,-0.00807422,0.0241921,-0.0299609,-0.00258827,-0.0109417,-0.0184245,-0.0286021,1.3545
-352168,0.979204,0.270012,4,15,0,352174,-3.09998,-2.52299,0.0306041,-0.0531668,-0.0132482,-0.0117793,-0.0185742,-0.00196324,-0.0625326,0.0581475,-0.00775955,0.00972879,0.00136195,-0.00184268,-0.00974733,0.0282064,-0.0424206,0.00411605,-0.00515994,-0.0262829,-0.0214658,1.35804
-352162,0.931945,0.270012,3,7,0,352177,-3.09342,-2.52223,0.0306701,-0.0522266,-0.00985722,-0.0139564,-0.0236271,-8.67617e-05,-0.056296,0.0608521,-0.0104328,0.0110012,0.0111336,0.00408093,-0.00749476,0.0281019,-0.0408778,-0.000149814,-0.0126792,-0.0214551,-0.0282936,1.35893
-352159,1,0.270012,4,15,0,352169,-3.07208,-2.50781,0.030187,-0.0667391,-0.0171735,-0.010712,-0.0354761,-0.0010413,-0.0561831,0.0623414,-0.00440152,0.0189747,-0.00805267,0.0193415,-0.00769996,0.0275833,-0.0340718,-0.00427599,-0.00441293,-0.0253376,-0.0276473,1.35238
-352160,0.988385,0.270012,4,15,0,352169,-3.06411,-2.5055,0.0299818,-0.0518977,-0.0168747,-0.0083188,-0.028508,-0.000313433,-0.0585487,0.0660778,-8.20963e-05,0.0185343,0.00452134,0.00723015,-0.00733827,0.0273196,-0.0463221,-0.00341094,-0.00997146,-0.0215778,-0.0221352,1.34961
-352159,0.865669,0.270012,4,15,0,352175,-3.07088,-2.50635,0.0300388,-0.0654935,-0.0143501,-0.0161584,-0.0277398,-9.3018e-05,-0.0522086,0.0564556,-0.0071488,0.0189058,0.00304711,0.0133268,-0.0105773,0.025829,-0.0257913,0.00364257,-0.00760026,-0.0228679,-0.0294013,1.35038
-352159,0.993342,0.270012,4,15,0,352167,-3.09349,-2.52718,0.0306493,-0.0551407,-0.0168525,-0.00984234,-0.0288903,0.000304181,-0.0560855,0.0654309,0.00334361,0.0178616,9.69599e-05,0.0114682,-0.00742122,0.0263651,-0.0459686,-0.00483221,-0.00882085,-0.021255,-0.0209526,1.35865
-352158,0.975692,0.270012,4,15,0,352167,-3.08357,-2.5173,0.0303474,-0.0593472,-0.0143585,-0.0158431,-0.0290854,0.00369565,-0.0514832,0.0573678,-0.00916032,0.0220727,0.00364209,0.0119869,-0.0106334,0.026392,-0.026335,0.00359776,-0.0084164,-0.0226484,-0.0301735,1.35456
-352156,0.671474,0.270012,3,15,0,352173,-3.07997,-2.51333,0.0302301,-0.0592802,-0.0203368,-0.0164729,-0.0313453,-0.000898869,-0.0553552,0.0678284,-0.00598373,0.0196699,0.00264767,0.00722701,-0.00924159,0.0205711,-0.0399505,-0.00208975,-0.0124947,-0.023277,-0.0213931,1.35297
-352157,0.745639,0.270012,3,7,0,352172,-3.07998,-2.514,0.0301425,-0.056659,-0.0195157,-0.0119994,-0.0287313,-0.00153395,-0.0556364,0.0667678,-0.00692445,0.0192959,0.00364087,0.00770488,-0.00565985,0.0191984,-0.0401693,-0.0013917,-0.0114571,-0.022968,-0.0247867,1.35178
